2026-07-06 01:53:07,466 - INFO - Fetched and processed 20 records for country='in', keyword='Developer', page=2
2026-07-06 01:53:09,251 - INFO - Querying Adzuna API for country='in', page=1, keyword='Data Analyst'
2026-07-06 01:53:09,684 - INFO - Fetched and processed 20 records for country='in', keyword='Data Analyst', page=1
2026-07-06 01:53:11,070 - INFO - Querying Adzuna API for country='in', page=2, keyword='Data Analyst'
2026-07-06 01:53:11,470 - INFO - Fetched and processed 20 records for country='in', keyword='Data Analyst', page=2
2026-07-06 01:53:13,200 - INFO - Querying Adzuna API for country='in', page=1, keyword='Data Scientist'
2026-07-06 01:53:13,623 - INFO - Fetched and processed 20 records for country='in', keyword='Data Scientist', page=1
2026-07-06 01:53:15,528 - INFO - Querying Adzuna API for country='in', page=2, keyword='Data Scientist'
2026-07-06 01:53:15,932 - INFO - Fetched and processed 20 records for country='in', keyword='Data Scientist', page=2
2026-07-06 01:53:17,020 - INFO - Querying Adzuna API for country='in', page=1, keyword='Business Analyst'
2026-07-06 01:53:17,465 - INFO - Fetched and processed 20 records for country='in', keyword='Business Analyst', page=1
2026-07-06 01:53:18,901 - INFO - Querying Adzuna API for country='in', page=2, keyword='Business Analyst'
2026-07-06 01:53:19,390 - INFO - Fetched and processed 20 records for country='in', keyword='Business Analyst', page=2
2026-07-06 01:53:21,213 - INFO - Querying Adzuna API for country='in', page=1, keyword='Data Engineer'
2026-07-06 01:53:21,643 - INFO - Fetched and processed 20 records for country='in', keyword='Data Engineer', page=1
2026-07-06 01:53:22,829 - INFO - Querying Adzuna API for country='in', page=2, keyword='Data Engineer'
2026-07-06 01:53:23,319 - INFO - Fetched and processed 20 records for country='in', keyword='Data Engineer', page=2
2026-07-06 01:53:24,523 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Developer'
2026-07-06 01:53:25,052 - INFO - Fetched and processed 20 records for country='gb', keyword='Developer', page=1
2026-07-06 01:53:26,743 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Developer'
2026-07-06 01:53:27,306 - INFO - Fetched and processed 20 records for country='gb', keyword='Developer', page=2
2026-07-06 01:53:28,394 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Data Analyst'
2026-07-06 01:53:28,892 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Analyst', page=1
2026-07-06 01:53:30,444 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Data Analyst'
2026-07-06 01:53:30,878 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Analyst', page=2
2026-07-06 01:53:32,605 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Data Scientist'
2026-07-06 01:53:33,084 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Scientist', page=1
2026-07-06 01:53:35,017 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Data Scientist'
2026-07-06 01:53:35,466 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Scientist', page=2
2026-07-06 01:53:36,625 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Business Analyst'
2026-07-06 01:53:36,977 - INFO - Fetched and processed 20 records for country='gb', keyword='Business Analyst', page=1
2026-07-06 01:53:38,519 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Business Analyst'
2026-07-06 01:53:38,951 - INFO - Fetched and processed 20 records for country='gb', keyword='Business Analyst', page=2
2026-07-06 01:53:40,794 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Data Engineer'
2026-07-06 01:53:41,201 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Engineer', page=1
2026-07-06 01:53:42,641 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Data Engineer'
2026-07-06 01:53:43,077 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Engineer', page=2
2026-07-06 01:53:44,589 - INFO - Pipeline executed successfully. Saved 400 JSON objects to data/raw/api_jobs_20260706_015344.json
2026-07-07 01:50:14,271 - INFO - Querying Adzuna API for country='in', page=1, keyword='Developer'
2026-07-07 01:50:14,998 - INFO - Fetched and processed 20 records for country='in', keyword='Developer', page=1
2026-07-07 01:50:16,156 - INFO - Querying Adzuna API for country='in', page=2, keyword='Developer'
2026-07-07 01:50:16,683 - INFO - Fetched and processed 20 records for country='in', keyword='Developer', page=2
2026-07-07 01:50:17,888 - INFO - Querying Adzuna API for country='in', page=1, keyword='Data Analyst'
2026-07-07 01:50:18,417 - INFO - Fetched and processed 20 records for country='in', keyword='Data Analyst', page=1
2026-07-07 01:50:20,148 - INFO - Querying Adzuna API for country='in', page=2, keyword='Data Analyst'
2026-07-07 01:50:20,621 - INFO - Fetched and processed 20 records for country='in', keyword='Data Analyst', page=2
2026-07-07 01:50:22,221 - INFO - Querying Adzuna API for country='in', page=1, keyword='Data Scientist'
2026-07-07 01:50:22,807 - INFO - Fetched and processed 20 records for country='in', keyword='Data Scientist', page=1
2026-07-07 01:50:24,757 - INFO - Querying Adzuna API for country='in', page=2, keyword='Data Scientist'
2026-07-07 01:50:25,342 - INFO - Fetched and processed 20 records for country='in', keyword='Data Scientist', page=2
2026-07-07 01:50:26,687 - INFO - Querying Adzuna API for country='in', page=1, keyword='Business Analyst'
2026-07-07 01:50:27,260 - INFO - Fetched and processed 20 records for country='in', keyword='Business Analyst', page=1
2026-07-07 01:50:28,605 - INFO - Querying Adzuna API for country='in', page=2, keyword='Business Analyst'
2026-07-07 01:50:29,189 - INFO - Fetched and processed 20 records for country='in', keyword='Business Analyst', page=2
2026-07-07 01:50:31,075 - INFO - Querying Adzuna API for country='in', page=1, keyword='Data Engineer'
2026-07-07 01:50:31,577 - INFO - Fetched and processed 20 records for country='in', keyword='Data Engineer', page=1
2026-07-07 01:50:33,415 - INFO - Querying Adzuna API for country='in', page=2, keyword='Data Engineer'
2026-07-07 01:50:33,950 - INFO - Fetched and processed 20 records for country='in', keyword='Data Engineer', page=2
2026-07-07 01:50:35,478 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Developer'
2026-07-07 01:50:36,210 - INFO - Fetched and processed 20 records for country='gb', keyword='Developer', page=1
2026-07-07 01:50:37,623 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Developer'
2026-07-07 01:50:38,225 - INFO - Fetched and processed 20 records for country='gb', keyword='Developer', page=2
2026-07-07 01:50:39,385 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Data Analyst'
2026-07-07 01:50:39,893 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Analyst', page=1
2026-07-07 01:50:41,420 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Data Analyst'
2026-07-07 01:50:41,929 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Analyst', page=2
2026-07-07 01:50:43,715 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Data Scientist'
2026-07-07 01:50:44,272 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Scientist', page=1
2026-07-07 01:50:45,616 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Data Scientist'
2026-07-07 01:50:46,244 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Scientist', page=2
2026-07-07 01:50:47,959 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Business Analyst'
2026-07-07 01:50:48,441 - INFO - Fetched and processed 20 records for country='gb', keyword='Business Analyst', page=1
2026-07-07 01:50:49,866 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Business Analyst'
2026-07-07 01:50:50,363 - INFO - Fetched and processed 20 records for country='gb', keyword='Business Analyst', page=2
2026-07-07 01:50:51,485 - INFO - Querying Adzuna API for country='gb', page=1, keyword='Data Engineer'
2026-07-07 01:50:51,960 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Engineer', page=1
2026-07-07 01:50:53,928 - INFO - Querying Adzuna API for country='gb', page=2, keyword='Data Engineer'
2026-07-07 01:50:54,421 - INFO - Fetched and processed 20 records for country='gb', keyword='Data Engineer', page=2
2026-07-07 01:50:56,348 - INFO - Pipeline executed successfully. Saved 400 JSON objects to data/raw/api_jobs_20260707_015056.json
2026-07-08 01:21:40,185 - INFO - Querying Adzuna API for country='in', page=1, keyword='Developer'
2026-07-08 01:21:40,956 - INFO - Fetched and processed 20 records for country='in', keyword='Developer', page=1
2026-07-08 01:21:42,198 - INFO - Querying Adzuna API for country='in', page=2, keyword='Developer'
2026-07-08 01:21:42,864 - INFO - Fetched and processed 20 records for country='in', keyword='Developer', page=2
2026-07-08 01:21:44,527 - INFO - Querying Adzuna API for country='in', page=1, keyword='Data Analyst'
2026-07-08 01:21:45,178 - INFO - Fetched and processed 20 records for country='in', keyword='Data Analyst', page=1
2026-07-08 01:21:47,153 - INFO - Querying Adzuna API for country='in', page=2, keyword='Data Analyst'
2026-07-08 01:21:47,814 - INFO - Fetched and processed 20 records for country='in', keyword='Data Analyst', page=2
